Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:15PDT2021, 0-3, 8, 1, 16 , 0.519,  3.023, 1.32,  0.567,  0.623,  0.7213999999999999,  0.8502000000000001,  1.155,  1.4518,  1.891,  2.399, 891374, off
TueApr614:16:14PDT2021, 0-3, 8, 1, 16 , 0.527,  5.407, 1.57,  0.607,  0.687,  0.767,  0.895,  1.059,  1.359,  1.925,  3.5158000000000014, 879226, off
TueApr614:48:24PDT2021, 0-3, 8, 1, 16 , 0.527,  2.687, 1.26,  0.623,  0.695,  0.783,  0.919,  1.111,  1.375,  1.733,  2.171800000000001, 873977, off
TueApr615:20:34PDT2021, 0-3, 8, 1, 16 , 0.527,  2.671, 1.25,  0.599,  0.663,  0.7534,  0.887,  1.071,  1.359,  1.727,  2.143, 888591, off
TueApr615:52:29PDT2021, 0-3, 8, 1, 16 , 0.527,  5.279, 1.54,  0.5838,  0.663,  0.7614,  0.8934000000000001,  1.103,  1.399,  1.977,  3.211800000000001, 873243, off
TueApr616:24:34PDT2021, 0-3, 8, 1, 16 , 0.495,  2.639, 1.17,  0.527,  0.575,  0.631,  0.727,  0.887,  1.2645999999999997,  1.707,  2.159, 915418, off
TueApr616:56:42PDT2021, 0-3, 8, 1, 16 , 0.527,  6.687, 1.58,  0.599,  0.679,  0.767,  0.8902000000000001,  1.071,  1.3718,  1.935,  3.6390000000000025, 872674, off
TueApr618:01:03PDT2021, 0-3, 8, 1, 16 , 0.535,  5.631, 1.49,  0.6078,  0.6966,  0.7774,  0.9142000000000001,  1.039,  1.3254,  1.863,  3.189400000000003, 864529, off
TueApr618:33:13PDT2021, 0-3, 8, 1, 16 , 0.543,  7.007, 1.54,  0.5998,  0.679,  0.767,  0.8902000000000001,  1.007,  1.303,  1.865,  3.336600000000002, 857195, off
TueApr619:05:23PDT2021, 0-3, 8, 1, 16 , 0.527,  5.759, 1.41,  0.615,  0.695,  0.759,  0.879,  0.983,  1.1765999999999999,  1.677,  2.920600000000002, 869606, off
