Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p_50,p_75,p_90,hpthrput,HT
MonApr500:14:23PDT2021, 0-11, 24, 1, 16 , 0.695,  2.431, 1.43,  1.399,  1.833,  2.1189999999999998, 2.0061e+06, off
MonApr500:46:46PDT2021, 0-11, 24, 1, 16 , 0.679,  2.351, 1.39,  1.351,  1.825,  2.111, 2.03185e+06, off
MonApr501:19:21PDT2021, 0-11, 24, 1, 16 , 0.679,  2.367, 1.41,  1.375,  1.831,  2.127, 2.02965e+06, off
MonApr501:51:44PDT2021, 0-11, 24, 1, 16 , 0.687,  2.463, 1.41,  1.367,  1.823,  2.111, 2.02474e+06, off
MonApr502:24:18PDT2021, 0-11, 24, 1, 16 , 0.671,  2.431, 1.42,  1.371,  1.855,  2.159, 2.01972e+06, off
MonApr502:56:42PDT2021, 0-11, 24, 1, 16 , 0.687,  2.223, 1.35,  1.319,  1.727,  1.979, 2.00958e+06, off
SunApr415:00:24PDT2021, 0-11, 24, 1, 16 , 0.671,  2.383, 1.40,  1.367,  1.823,  2.127, 2.04751e+06, off
SunApr416:39:27PDT2021, 0-11, 24, 1, 16 , 0.687,  2.527, 1.47,  1.435,  1.913,  2.223, 2.02588e+06, off
SunApr417:12:02PDT2021, 0-11, 24, 1, 16 , 0.679,  2.303, 1.36,  1.319,  1.769,  2.063, 2.02649e+06, off
SunApr417:44:38PDT2021, 0-11, 24, 1, 16 , 0.687,  2.319, 1.35,  1.319,  1.743,  2.007, 2.03945e+06, off
SunApr418:17:13PDT2021, 0-11, 24, 1, 16 , 0.679,  2.287, 1.34,  1.311,  1.751,  2.023, 2.05014e+06, off
SunApr418:49:49PDT2021, 0-11, 24, 1, 16 , 0.679,  2.463, 1.45,  1.423,  1.903,  2.207, 2.05188e+06, off
SunApr419:22:09PDT2021, 0-11, 24, 1, 16 , 0.679,  2.159, 1.33,  1.303,  1.703,  1.959, 2.04659e+06, off
SunApr419:54:35PDT2021, 0-11, 24, 1, 16 , 0.687,  2.335, 1.37,  1.335,  1.767,  2.047, 2.00349e+06, off
SunApr420:26:57PDT2021, 0-11, 24, 1, 16 , 0.679,  2.287, 1.36,  1.323,  1.751,  2.047, 2.01932e+06, off
SunApr420:59:30PDT2021, 0-11, 24, 1, 16 , 0.663,  2.399, 1.41,  1.367,  1.847,  2.159, 2.07433e+06, off
SunApr421:32:04PDT2021, 0-11, 24, 1, 16 , 0.679,  2.287, 1.33,  1.287,  1.721,  2.007, 2.04215e+06, off
SunApr422:04:41PDT2021, 0-11, 24, 1, 16 , 0.671,  2.303, 1.36,  1.327,  1.769,  2.063, 2.0281e+06, off
SunApr422:37:02PDT2021, 0-11, 24, 1, 16 , 0.679,  2.303, 1.35,  1.295,  1.751,  2.063, 2.02224e+06, off
SunApr423:09:24PDT2021, 0-11, 24, 1, 16 , 0.687,  2.559, 1.48,  1.447,  1.929,  2.255, 2.0164e+06, off
SunApr423:41:46PDT2021, 0-11, 24, 1, 16 , 0.687,  2.399, 1.42,  1.367,  1.839,  2.159, 2.02704e+06, off
