Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p_50,p_75,p_90,hpthrput,HT
MonApr500:08:51PDT2021, 0-3, 8, 1, 16 , 0.447,  12.351, 1.95,  0.907,  1.619,  5.547800000000007, 952356, off
MonApr500:41:16PDT2021, 0-3, 8, 1, 16 , 0.439,  5.663, 1.05,  0.791,  1.209,  1.823, 963924, off
MonApr501:13:27PDT2021, 0-3, 8, 1, 16 , 0.431,  8.511, 1.48,  0.895,  1.443,  3.901400000000006, 988966, off
MonApr501:45:26PDT2021, 0-3, 8, 1, 16 , 0.447,  11.967, 1.62,  0.887,  1.575,  3.9238000000000093, 953906, off
MonApr502:17:28PDT2021, 0-3, 8, 1, 16 , 0.455,  12.031, 1.80,  0.995,  1.641,  4.223, 922741, off
MonApr502:49:24PDT2021, 0-3, 8, 1, 16 , 0.423,  8.095, 1.09,  0.815,  1.161,  1.931800000000001, 1.01457e+06, off
SunApr415:00:21PDT2021, 0-3, 8, 1, 16 , 0.447,  12.351, 1.66,  0.839,  1.451,  3.955800000000004, 963623, off
SunApr416:39:22PDT2021, 0-3, 8, 1, 16 , 0.471,  11.967, 2.24,  1.063,  2.095,  7.499800000000007, 911479, off
SunApr417:11:27PDT2021, 0-3, 8, 1, 16 , 0.455,  10.239, 1.48,  0.955,  1.525,  3.2934000000000005, 952737, off
SunApr417:43:33PDT2021, 0-3, 8, 1, 16 , 0.415,  4.383, .96,  0.751,  1.167,  1.7894000000000005, 1.05214e+06, off
SunApr418:15:37PDT2021, 0-3, 8, 1, 16 , 0.455,  12.095, 1.85,  0.915,  1.717,  4.475800000000001, 927702, off
SunApr418:47:38PDT2021, 0-3, 8, 1, 16 , 0.455,  11.775, 1.71,  0.951,  1.625,  4.223, 927441, off
SunApr419:19:37PDT2021, 0-3, 8, 1, 16 , 0.447,  12.031, 1.84,  0.907,  1.713,  4.287, 952847, off
SunApr419:51:51PDT2021, 0-3, 8, 1, 16 , 0.447,  8.959, 1.18,  0.787,  1.157,  1.991, 967320, off
SunApr420:23:50PDT2021, 0-3, 8, 1, 16 , 0.439,  12.415, 1.74,  0.867,  1.573,  4.187800000000001, 985675, off
SunApr420:55:59PDT2021, 0-3, 8, 1, 16 , 0.423,  8.383, 1.12,  0.767,  1.247,  2.063, 1.01978e+06, off
SunApr421:27:59PDT2021, 0-3, 8, 1, 16 , 0.463,  12.223, 1.99,  0.919,  1.765,  5.631000000000011, 948213, off
SunApr422:00:08PDT2021, 0-3, 8, 1, 16 , 0.415,  8.319, 1.21,  0.815,  1.359,  2.3142000000000014, 1.01993e+06, off
SunApr422:32:23PDT2021, 0-3, 8, 1, 16 , 0.439,  11.519, 1.42,  0.847,  1.399,  2.383, 958739, off
SunApr423:04:39PDT2021, 0-3, 8, 1, 16 , 0.455,  9.663, 1.64,  0.919,  1.695,  4.191, 936713, off
SunApr423:36:39PDT2021, 0-3, 8, 1, 16 , 0.455,  12.223, 1.98,  0.935,  1.849,  5.112600000000002, 935820, off
