Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr622:23:17PDT2021, 0-3, 8, 1, 16 , 0.447,  12.223, 1.72,  0.495,  0.5366000000000001,  0.6654,  0.767,  0.919,  1.0837999999999999,  1.561,  4.219800000000001, 981958, off
TueApr622:55:18PDT2021, 0-3, 8, 1, 16 , 0.415,  8.159, .99,  0.447,  0.471,  0.5454,  0.6662000000000001,  0.727,  0.791,  1.041,  1.6702000000000004, 1.02529e+06, off
TueApr623:27:30PDT2021, 0-3, 8, 1, 16 , 0.463,  11.583, 1.76,  0.519,  0.559,  0.7534,  0.8822000000000001,  1.031,  1.1398,  1.647,  4.287, 914805, off
TueApr623:59:46PDT2021, 0-3, 8, 1, 16 , 0.455,  10.623, 1.26,  0.4878,  0.519,  0.583,  0.727,  0.839,  0.975,  1.329,  2.1382000000000017, 940111, off
WedApr700:32:02PDT2021, 0-3, 8, 1, 16 , 0.439,  6.047, 1.06,  0.479,  0.503,  0.567,  0.6982,  0.783,  0.9158,  1.167,  1.9782000000000017, 966532, off
WedApr701:04:06PDT2021, 0-3, 8, 1, 16 , 0.423,  11.327, 1.46,  0.463,  0.503,  0.6494,  0.719,  0.807,  0.951,  1.385,  2.7590000000000026, 1.00628e+06, off
WedApr701:36:19PDT2021, 0-3, 8, 1, 16 , 0.439,  12.159, 1.51,  0.479,  0.511,  0.591,  0.6742000000000001,  0.827,  1.0213999999999999,  1.489,  3.199, 962354, off
WedApr702:08:33PDT2021, 0-3, 8, 1, 16 , 0.439,  11.967, 1.52,  0.479,  0.519,  0.599,  0.671,  0.815,  1.0006,  1.439,  3.9622000000000073, 968584, off
WedApr702:40:43PDT2021, 0-3, 8, 1, 16 , 0.447,  12.031, 1.52,  0.495,  0.527,  0.591,  0.6854000000000001,  0.823,  0.9158,  1.347,  3.79420000000001, 942978, off
WedApr703:13:03PDT2021, 0-3, 8, 1, 16 , 0.471,  12.031, 1.85,  0.5198,  0.575,  0.743,  0.871,  0.991,  1.087,  1.521,  4.507800000000001, 899705, off
WedApr703:45:13PDT2021, 0-3, 8, 1, 16 , 0.455,  12.351, 1.77,  0.495,  0.535,  0.599,  0.7142000000000001,  0.839,  1.0197999999999998,  1.559,  4.319, 949354, off
WedApr704:17:27PDT2021, 0-3, 8, 1, 16 , 0.439,  8.447, 1.17,  0.479,  0.511,  0.567,  0.647,  0.775,  0.8917999999999999,  1.273,  2.0886000000000022, 977302, off
WedApr704:49:21PDT2021, 0-3, 8, 1, 16 , 0.423,  9.791, 1.35,  0.463,  0.511,  0.663,  0.727,  0.807,  0.9477999999999999,  1.369,  2.4598000000000013, 1.03759e+06, off
WedApr705:21:32PDT2021, 0-3, 8, 1, 16 , 0.423,  5.951, 1.02,  0.463,  0.495,  0.575,  0.7302000000000001,  0.819,  0.927,  1.129,  1.667800000000001, 1.01222e+06, off
WedApr705:53:40PDT2021, 0-3, 8, 1, 16 , 0.423,  8.447, 1.18,  0.45580000000000004,  0.487,  0.599,  0.695,  0.759,  0.8677999999999999,  1.233,  2.1862000000000013, 1.01487e+06, off
WedApr706:25:48PDT2021, 0-3, 8, 1, 16 , 0.415,  8.255, 1.00,  0.44780000000000003,  0.479,  0.5693999999999999,  0.679,  0.735,  0.815,  1.041,  1.6222000000000003, 1.0288e+06, off
WedApr706:58:02PDT2021, 0-3, 8, 1, 16 , 0.447,  12.223, 1.73,  0.4958,  0.543,  0.6414,  0.7622000000000001,  0.887,  1.047,  1.519,  4.219800000000001, 946136, off
WedApr707:30:03PDT2021, 0-3, 8, 1, 16 , 0.447,  11.519, 1.46,  0.487,  0.5206000000000001,  0.607,  0.7222000000000001,  0.863,  1.079,  1.529,  2.8614000000000006, 962103, off
WedApr708:02:25PDT2021, 0-3, 8, 1, 16 , 0.415,  6.527, 1.07,  0.447,  0.479,  0.6334,  0.711,  0.775,  0.8677999999999999,  1.313,  1.9878000000000011, 1.03366e+06, off
WedApr708:34:32PDT2021, 0-3, 8, 1, 16 , 0.415,  8.319, 1.04,  0.439,  0.471,  0.5693999999999999,  0.671,  0.735,  0.807,  1.153,  1.663, 1.04059e+06, off
