Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:37PDT2021, 0-3, 8, 1, 16 , 0.447,  12.095, 1.83,  0.503,  0.5766,  0.6814,  0.8022000000000001,  0.927,  1.0965999999999998,  1.605,  4.283800000000001, 945813, off
TueApr614:16:02PDT2021, 0-3, 8, 1, 16 , 0.431,  10.303, 1.45,  0.479,  0.5382000000000001,  0.711,  0.783,  0.883,  1.007,  1.393,  3.405400000000006, 987163, off
TueApr614:48:17PDT2021, 0-3, 8, 1, 16 , 0.447,  9.855, 1.31,  0.495,  0.527,  0.6013999999999999,  0.6902,  0.827,  0.9398,  1.339,  2.440600000000002, 948425, off
TueApr615:20:37PDT2021, 0-3, 8, 1, 16 , 0.455,  12.031, 1.85,  0.527,  0.623,  0.783,  0.8982000000000001,  1.023,  1.1318,  1.627,  4.5590000000000055, 922001, off
TueApr615:53:00PDT2021, 0-3, 8, 1, 16 , 0.471,  4.511, 1.05,  0.511,  0.535,  0.5773999999999999,  0.735,  0.851,  0.991,  1.153,  1.771800000000001, 917206, off
TueApr616:24:54PDT2021, 0-3, 8, 1, 16 , 0.415,  5.471, 1.02,  0.447,  0.471,  0.5933999999999999,  0.695,  0.759,  0.8517999999999999,  1.225,  1.8982000000000017, 1.0552e+06, off
TueApr616:56:51PDT2021, 0-3, 8, 1, 16 , 0.415,  8.383, 1.11,  0.455,  0.4806,  0.599,  0.687,  0.755,  0.847,  1.193,  1.955800000000001, 1.02232e+06, off
TueApr618:00:50PDT2021, 0-3, 8, 1, 16 , 0.439,  10.687, 1.32,  0.4798,  0.519,  0.607,  0.679,  0.819,  0.9637999999999999,  1.355,  2.1702000000000012, 982033, off
TueApr618:32:52PDT2021, 0-3, 8, 1, 16 , 0.439,  11.071, 1.36,  0.487,  0.5206000000000001,  0.647,  0.7302000000000001,  0.875,  1.0277999999999998,  1.423,  2.3750000000000027, 980837, off
TueApr619:04:54PDT2021, 0-3, 8, 1, 16 , 0.455,  12.223, 1.94,  0.495,  0.543,  0.623,  0.767,  0.895,  1.1878,  1.861,  5.0326000000000075, 958700, off
