Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
MonMay1000:22:43PDT2021, 0-3, 8, 1, 16 , 0.455,  10.687, 1.58,  0.511,  0.559,  0.6734,  0.8022000000000001,  0.931,  1.047,  1.561,  3.819800000000001, 942088, off
MonMay1000:22:50PDT2021, 0-3, 8, 1, 16 , 0.463,  11.967, 2.01,  0.519,  0.5926,  0.6894,  0.8422000000000001,  0.951,  1.1845999999999999,  1.935,  5.621400000000003, 918026, off
MonMay1000:22:55PDT2021, 0-3, 8, 1, 16 , 0.471,  11.903, 1.88,  0.527,  0.583,  0.7213999999999999,  0.879,  0.975,  1.1125999999999998,  1.757,  4.754200000000004, 890172, off
MonMay1001:22:42PDT2021, 0-3, 8, 1, 16 , 0.447,  12.863, 1.83,  0.495,  0.543,  0.631,  0.7622000000000001,  0.895,  1.1221999999999999,  1.657,  4.255, 951793, off
MonMay1001:22:43PDT2021, 0-3, 8, 1, 16 , 0.447,  12.223, 1.84,  0.495,  0.5366000000000001,  0.647,  0.783,  0.915,  1.1798,  1.661,  4.319, 947046, off
MonMay1001:22:47PDT2021, 0-3, 8, 1, 16 , 0.455,  12.479, 1.83,  0.4958,  0.551,  0.631,  0.751,  0.887,  1.1125999999999998,  1.663,  4.319, 959645, off
MonMay1001:22:50PDT2021, 0-3, 8, 1, 16 , 0.447,  12.159, 2.03,  0.503,  0.5606000000000001,  0.695,  0.823,  0.971,  1.1734,  1.871,  5.5190000000000055, 949881, off
MonMay1002:22:41PDT2021, 0-3, 8, 1, 16 , 0.463,  12.031, 1.80,  0.5118,  0.5686,  0.6894,  0.8182,  0.9390000000000001,  1.0677999999999999,  1.551,  4.373400000000003, 932410, off
MonMay1002:22:48PDT2021, 0-3, 8, 1, 16 , 0.455,  12.223, 1.68,  0.495,  0.543,  0.623,  0.735,  0.859,  1.0325999999999997,  1.5010000000000001,  4.191, 955906, off
MonMay1002:22:49PDT2021, 0-3, 8, 1, 16 , 0.447,  11.967, 1.48,  0.4798,  0.519,  0.6013999999999999,  0.687,  0.831,  1.0197999999999998,  1.479,  3.1222000000000043, 977194, off
MonMay1002:22:51PDT2021, 0-3, 8, 1, 16 , 0.455,  11.839, 1.79,  0.511,  0.583,  0.711,  0.847,  0.967,  1.095,  1.711,  4.411800000000001, 936624, off
MonMay1003:22:35PDT2021, 0-3, 8, 1, 16 , 0.415,  6.207, 1.00,  0.447,  0.479,  0.615,  0.727,  0.783,  0.8597999999999999,  1.101,  1.791, 1.02822e+06, off
MonMay1003:22:41PDT2021, 0-3, 8, 1, 16 , 0.455,  12.223, 2.06,  0.511,  0.5766,  0.695,  0.831,  0.947,  1.1238,  1.835,  6.200600000000002, 926091, off
MonMay1003:22:50PDT2021, 0-3, 8, 1, 16 , 0.447,  12.031, 1.89,  0.511,  0.575,  0.7053999999999999,  0.8422000000000001,  0.975,  1.1558,  1.629,  5.05500000000001, 935963, off
MonMay1003:22:51PDT2021, 0-3, 8, 1, 16 , 0.447,  8.831, 1.21,  0.495,  0.527,  0.6174,  0.719,  0.843,  0.9637999999999999,  1.279,  1.9582000000000004, 961346, off
MonMay1004:22:40PDT2021, 0-3, 8, 1, 16 , 0.455,  12.287, 1.77,  0.511,  0.583,  0.687,  0.8102,  0.935,  1.0757999999999999,  1.599,  4.219800000000001, 945943, off
