Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
MonMay1000:23:00PDT2021, 0-11, 24, 1, 16 , 0.663,  2.367, 1.36,  0.743,  0.863,  1.015,  1.159,  1.319,  1.495,  1.761,  2.039, 2.05157e+06, off
MonMay1000:23:01PDT2021, 0-11, 24, 1, 16 , 0.679,  2.367, 1.41,  0.767,  0.903,  1.063,  1.215,  1.387,  1.559,  1.831,  2.103, 2.03443e+06, off
MonMay1000:23:04PDT2021, 0-11, 24, 1, 16 , 0.679,  2.223, 1.33,  0.751,  0.871,  1.007,  1.151,  1.295,  1.455,  1.705,  1.967, 2.03208e+06, off
MonMay1000:23:10PDT2021, 0-11, 24, 1, 16 , 0.663,  2.319, 1.38,  0.751,  0.879,  1.031,  1.191,  1.351,  1.535,  1.791,  2.079, 2.08075e+06, off
MonMay1001:22:59PDT2021, 0-11, 24, 1, 16 , 0.671,  2.271, 1.32,  0.743,  0.847,  0.991,  1.127,  1.275,  1.447,  1.703,  1.967, 2.07355e+06, off
MonMay1001:23:01PDT2021, 0-11, 24, 1, 16 , 0.679,  2.255, 1.34,  0.743,  0.847,  0.983,  1.135,  1.299,  1.479,  1.751,  2.039, 2.03334e+06, off
MonMay1001:23:03PDT2021, 0-11, 24, 1, 16 , 0.687,  2.239, 1.37,  0.759,  0.895,  1.035,  1.183,  1.335,  1.503,  1.759,  2.027, 2.019e+06, off
MonMay1001:23:07PDT2021, 0-11, 24, 1, 16 , 0.663,  2.207, 1.30,  0.735,  0.839,  0.967,  1.111,  1.267,  1.439,  1.687,  1.951, 2.07774e+06, off
MonMay1002:23:03PDT2021, 0-11, 24, 1, 16 , 0.679,  2.319, 1.38,  0.759,  0.887,  1.035,  1.183,  1.343,  1.527,  1.791,  2.079, 2.03208e+06, off
MonMay1002:23:05PDT2021, 0-11, 24, 1, 16 , 0.679,  2.415, 1.41,  0.759,  0.879,  1.039,  1.199,  1.375,  1.567,  1.839,  2.143, 2.01196e+06, off
MonMay1002:23:11PDT2021, 0-11, 24, 1, 16 , 0.671,  2.239, 1.33,  0.751,  0.863,  1.003,  1.151,  1.303,  1.471,  1.719,  1.979, 2.04346e+06, off
MonMay1003:23:02PDT2021, 0-11, 24, 1, 16 , 0.655,  2.367, 1.39,  0.743,  0.879,  1.031,  1.191,  1.359,  1.543,  1.815,  2.127, 2.0907e+06, off
MonMay1003:23:08PDT2021, 0-11, 24, 1, 16 , 0.663,  2.351, 1.36,  0.743,  0.871,  1.007,  1.159,  1.327,  1.503,  1.775,  2.047, 2.0823e+06, off
MonMay1003:23:11PDT2021, 0-11, 24, 1, 16 , 0.679,  2.335, 1.37,  0.743,  0.847,  0.999,  1.151,  1.327,  1.511,  1.791,  2.079, 2.02868e+06, off
MonMay1003:23:13PDT2021, 0-11, 24, 1, 16 , 0.671,  2.399, 1.38,  0.759,  0.879,  1.023,  1.175,  1.343,  1.519,  1.791,  2.063, 2.02699e+06, off
MonMay1004:23:09PDT2021, 0-11, 24, 1, 16 , 0.679,  2.351, 1.39,  0.755,  0.887,  1.035,  1.183,  1.351,  1.527,  1.807,  2.095, 2.02861e+06, off
MonMay1004:23:10PDT2021, 0-11, 24, 1, 16 , 0.671,  2.415, 1.41,  0.743,  0.871,  1.031,  1.183,  1.359,  1.551,  1.847,  2.167, 2.06536e+06, off
MonMay1004:23:11PDT2021, 0-11, 24, 1, 16 , 0.671,  2.223, 1.33,  0.751,  0.863,  1.003,  1.143,  1.295,  1.455,  1.711,  1.967, 2.03948e+06, off
MonMay1005:22:59PDT2021, 0-11, 24, 1, 16 , 0.663,  2.415, 1.42,  0.751,  0.887,  1.047,  1.199,  1.383,  1.575,  1.863,  2.175, 2.05218e+06, off
MonMay1005:23:02PDT2021, 0-11, 24, 1, 16 , 0.679,  2.367, 1.40,  0.759,  0.895,  1.047,  1.199,  1.367,  1.551,  1.815,  2.095, 2.03684e+06, off
MonMay1005:23:07PDT2021, 0-11, 24, 1, 16 , 0.663,  2.431, 1.39,  0.731,  0.847,  1.007,  1.159,  1.343,  1.535,  1.825,  2.143, 2.07308e+06, off
MonMay1005:23:08PDT2021, 0-11, 24, 1, 16 , 0.671,  2.255, 1.35,  0.751,  0.871,  1.011,  1.159,  1.311,  1.487,  1.735,  2.003, 2.04002e+06, off
MonMay1006:23:00PDT2021, 0-11, 24, 1, 16 , 0.671,  2.559, 1.46,  0.755,  0.903,  1.067,  1.231,  1.419,  1.615,  1.911,  2.239, 2.05871e+06, off
MonMay1006:23:01PDT2021, 0-11, 24, 1, 16 , 0.671,  2.367, 1.37,  0.743,  0.871,  1.011,  1.159,  1.319,  1.503,  1.785,  2.095, 2.05349e+06, off
MonMay1006:23:03PDT2021, 0-11, 24, 1, 16 , 0.679,  2.287, 1.35,  0.759,  0.879,  1.015,  1.159,  1.315,  1.487,  1.743,  2.031, 2.02347e+06, off
