Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:32PDT2021, 0-3, 8, 1, 16 , 0.519,  4.223, 1.32,  0.5998,  0.695,  0.7614,  0.8822000000000001,  1.003,  1.239,  1.719,  2.5542000000000016, 874644, off
TueApr614:16:16PDT2021, 0-3, 8, 1, 16 , 0.535,  6.047, 1.67,  0.607,  0.695,  0.799,  0.9302000000000001,  1.135,  1.431,  2.095,  3.9174000000000007, 863477, off
TueApr614:48:26PDT2021, 0-3, 8, 1, 16 , 0.535,  6.431, 1.74,  0.615,  0.703,  0.8014,  0.951,  1.187,  1.4758,  2.227,  3.9318000000000013, 867986, off
TueApr615:20:36PDT2021, 0-3, 8, 1, 16 , 0.519,  2.943, 1.28,  0.575,  0.647,  0.7293999999999999,  0.863,  1.051,  1.367,  1.801,  2.351, 875505, off
TueApr615:52:44PDT2021, 0-3, 8, 1, 16 , 0.527,  2.895, 1.32,  0.615,  0.687,  0.7774,  0.919,  1.111,  1.391,  1.819,  2.4134000000000007, 869368, off
TueApr616:24:59PDT2021, 0-3, 8, 1, 16 , 0.511,  4.415, 1.34,  0.551,  0.6166,  0.687,  0.7942000000000001,  0.955,  1.287,  1.809,  2.6662000000000017, 888652, off
TueApr616:57:11PDT2021, 0-3, 8, 1, 16 , 0.543,  5.279, 1.55,  0.599,  0.687,  0.7774,  0.911,  1.079,  1.375,  1.959,  3.4774000000000034, 853603, off
TueApr618:01:29PDT2021, 0-3, 8, 1, 16 , 0.519,  5.919, 1.56,  0.575,  0.663,  0.735,  0.8582000000000001,  1.019,  1.343,  1.939,  3.4038000000000013, 872354, off
TueApr618:33:24PDT2021, 0-3, 8, 1, 16 , 0.519,  4.287, 1.38,  0.567,  0.631,  0.7053999999999999,  0.831,  1.023,  1.3414,  1.819,  2.8134000000000006, 883274, off
TueApr619:05:35PDT2021, 0-3, 8, 1, 16 , 0.527,  4.799, 1.41,  0.583,  0.663,  0.7373999999999999,  0.871,  1.023,  1.3205999999999998,  1.835,  2.895, 882586, off
