Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p_50,p_75,p_90,hpthrput,HT
MonApr500:07:18PDT2021, 0-3, 8, 1, 16 , 0.511,  5.727, 1.53,  1.103,  1.865,  3.0774000000000035, 871819, off
MonApr500:39:24PDT2021, 0-3, 8, 1, 16 , 0.519,  2.543, 1.23,  1.047,  1.713,  2.159, 884925, off
MonApr501:11:33PDT2021, 0-3, 8, 1, 16 , 0.535,  4.895, 1.56,  1.099,  2.047,  3.5142000000000015, 861706, off
MonApr501:43:41PDT2021, 0-3, 8, 1, 16 , 0.527,  6.751, 1.54,  1.047,  1.919,  3.4054000000000006, 880459, off
MonApr502:15:51PDT2021, 0-3, 8, 1, 16 , 0.527,  5.663, 1.47,  1.023,  1.825,  3.0502000000000016, 868244, off
MonApr502:48:01PDT2021, 0-3, 8, 1, 16 , 0.527,  4.383, 1.38,  1.039,  1.825,  2.699800000000001, 871850, off
SunApr414:59:53PDT2021, 0-3, 8, 1, 16 , 0.519,  2.575, 1.20,  1.011,  1.641,  2.039, 893354, off
SunApr416:38:58PDT2021, 0-3, 8, 1, 16 , 0.527,  5.503, 1.44,  0.999,  1.825,  3.0182000000000015, 877027, off
SunApr417:11:07PDT2021, 0-3, 8, 1, 16 , 0.527,  5.855, 1.51,  1.039,  1.905,  3.1654000000000004, 873369, off
SunApr417:43:17PDT2021, 0-3, 8, 1, 16 , 0.511,  3.855, 1.26,  0.915,  1.719,  2.5078000000000014, 886752, off
SunApr418:15:11PDT2021, 0-3, 8, 1, 16 , 0.527,  6.271, 1.58,  1.087,  2.007,  3.4822000000000015, 890256, off
SunApr418:47:21PDT2021, 0-3, 8, 1, 16 , 0.519,  4.639, 1.56,  1.175,  2.083,  3.2934000000000005, 885260, off
SunApr419:19:26PDT2021, 0-3, 8, 1, 16 , 0.519,  2.303, 1.16,  0.991,  1.569,  1.9422000000000004, 886164, off
SunApr419:51:37PDT2021, 0-3, 8, 1, 16 , 0.535,  6.783, 1.66,  1.107,  2.011,  3.9622000000000015, 857635, off
SunApr420:23:31PDT2021, 0-3, 8, 1, 16 , 0.527,  7.743, 1.68,  1.087,  1.995,  3.9638000000000013, 878975, off
SunApr420:55:24PDT2021, 0-3, 8, 1, 16 , 0.519,  4.191, 1.33,  0.979,  1.681,  2.6038000000000014, 901486, off
SunApr421:27:18PDT2021, 0-3, 8, 1, 16 , 0.535,  5.151, 1.58,  1.123,  1.987,  3.487, 870338, off
SunApr421:59:15PDT2021, 0-3, 8, 1, 16 , 0.527,  3.919, 1.34,  1.043,  1.727,  2.5254000000000008, 868928, off
SunApr422:31:20PDT2021, 0-3, 8, 1, 16 , 0.503,  3.183, 1.24,  0.923,  1.801,  2.287, 895491, off
SunApr423:03:11PDT2021, 0-3, 8, 1, 16 , 0.511,  4.255, 1.29,  0.907,  1.745,  2.6694000000000004, 907744, off
SunApr423:35:19PDT2021, 0-3, 8, 1, 16 , 0.527,  5.055, 1.41,  1.023,  1.809,  2.8134000000000006, 884062, off
