Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p_50,p_75,p_90,hpthrput, HT
MonApr500:09:25PDT2021, 0-11, 24, 1, 16 , 0.519,  4.799, 1.89,  1.611,  2.867,  3.623, 2.52371e+06, off
MonApr500:41:41PDT2021, 0-11, 24, 1, 16 , 0.511,  4.671, 1.85,  1.599,  2.751,  3.527, 2.54194e+06, off
MonApr501:13:57PDT2021, 0-11, 24, 1, 16 , 0.511,  4.735, 1.82,  1.579,  2.687,  3.407, 2.57042e+06, off
MonApr501:46:16PDT2021, 0-11, 24, 1, 16 , 0.527,  4.767, 1.88,  1.603,  2.831,  3.607, 2.51154e+06, off
MonApr502:18:23PDT2021, 0-11, 24, 1, 16 , 0.511,  4.543, 1.82,  1.559,  2.703,  3.439, 2.5475e+06, off
MonApr502:50:26PDT2021, 0-11, 24, 1, 16 , 0.519,  4.895, 1.94,  1.663,  2.943,  3.711, 2.50802e+06, off
SunApr415:00:20PDT2021, 0-11, 24, 1, 16 , 0.519,  4.735, 1.85,  1.595,  2.739,  3.527, 2.55705e+06, off
SunApr416:39:06PDT2021, 0-11, 24, 1, 16 , 0.511,  4.767, 1.84,  1.579,  2.751,  3.519, 2.58762e+06, off
SunApr417:11:25PDT2021, 0-11, 24, 1, 16 , 0.511,  4.639, 1.80,  1.543,  2.659,  3.463, 2.58838e+06, off
SunApr417:43:29PDT2021, 0-11, 24, 1, 16 , 0.511,  4.767, 1.82,  1.583,  2.691,  3.447, 2587481, off
SunApr418:15:32PDT2021, 0-11, 24, 1, 16 , 0.519,  4.863, 1.85,  1.603,  2.751,  3.471, 2.55775e+06, off
SunApr418:47:49PDT2021, 0-11, 24, 1, 16 , 0.511,  4.671, 1.82,  1.567,  2.703,  3.471, 2.5871e+06, off
SunApr419:19:51PDT2021, 0-11, 24, 1, 16 , 0.519,  4.767, 1.85,  1.611,  2.735,  3.503, 2.53794e+06, off
SunApr419:52:07PDT2021, 0-11, 24, 1, 16 , 0.511,  4.959, 1.86,  1.595,  2.767,  3.551, 2.61343e+06, off
SunApr420:24:09PDT2021, 0-11, 24, 1, 16 , 0.519,  4.575, 1.86,  1.583,  2.751,  3.599, 2.54735e+06, off
SunApr420:56:11PDT2021, 0-11, 24, 1, 16 , 0.511,  4.895, 1.84,  1.583,  2.751,  3.543, 2.56538e+06, off
SunApr421:28:29PDT2021, 0-11, 24, 1, 16 , 0.511,  4.511, 1.79,  1.547,  2.655,  3.439, 2.55071e+06, off
SunApr422:00:46PDT2021, 0-11, 24, 1, 16 , 0.519,  4.735, 1.85,  1.599,  2.767,  3.503, 2.55769e+06, off
SunApr422:33:03PDT2021, 0-11, 24, 1, 16 , 0.511,  4.991, 1.86,  1.591,  2.751,  3.583, 2.59816e+06, off
SunApr423:05:23PDT2021, 0-11, 24, 1, 16 , 0.519,  4.639, 1.83,  1.567,  2.739,  3.519, 2.50073e+06, off
SunApr423:37:24PDT2021, 0-11, 24, 1, 16 , 0.511,  4.703, 1.86,  1.591,  2.767,  3.567, 2.56758e+06, off
