Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr622:23:10PDT2021, 0-3, 8, 1, 16 , 0.519,  6.111, 1.53,  0.5678,  0.655,  0.7293999999999999,  0.863,  1.047,  1.351,  1.975,  3.3718000000000012, 880448, off
TueApr622:55:15PDT2021, 0-3, 8, 1, 16 , 0.535,  4.735, 1.34,  0.607,  0.679,  0.7614,  0.8822000000000001,  1.003,  1.2805999999999997,  1.713,  2.5094000000000007, 873333, off
TueApr623:27:19PDT2021, 0-3, 8, 1, 16 , 0.519,  3.343, 1.26,  0.575,  0.639,  0.711,  0.831,  0.979,  1.3205999999999998,  1.771,  2.3494000000000006, 882906, off
TueApr623:59:19PDT2021, 0-3, 8, 1, 16 , 0.519,  2.719, 1.25,  0.599,  0.671,  0.743,  0.8662000000000001,  0.9989999999999999,  1.327,  1.745,  2.267800000000001, 882974, off
WedApr700:31:22PDT2021, 0-3, 8, 1, 16 , 0.519,  3.375, 1.22,  0.5918,  0.6646000000000001,  0.735,  0.839,  0.959,  1.2006,  1.647,  2.271, 891232, off
WedApr701:03:31PDT2021, 0-3, 8, 1, 16 , 0.519,  2.767, 1.23,  0.5918,  0.663,  0.735,  0.8582000000000001,  0.987,  1.3125999999999998,  1.713,  2.171800000000001, 884687, off
WedApr701:35:35PDT2021, 0-3, 8, 1, 16 , 0.527,  4.927, 1.52,  0.607,  0.711,  0.783,  0.919,  1.075,  1.3654,  1.941,  3.227800000000001, 880685, off
WedApr702:07:44PDT2021, 0-3, 8, 1, 16 , 0.527,  4.959, 1.56,  0.623,  0.703,  0.783,  0.9222000000000001,  1.047,  1.327,  1.935,  3.6422000000000017, 868898, off
WedApr702:39:45PDT2021, 0-3, 8, 1, 16 , 0.519,  4.639, 1.44,  0.567,  0.6406000000000001,  0.727,  0.855,  1.043,  1.3558,  1.893,  3.069400000000001, 880585, off
WedApr703:11:49PDT2021, 0-3, 8, 1, 16 , 0.519,  7.167, 1.53,  0.583,  0.663,  0.7373999999999999,  0.863,  1.019,  1.319,  1.831,  3.2550000000000026, 881234, off
WedApr703:43:51PDT2021, 0-3, 8, 1, 16 , 0.519,  5.503, 1.39,  0.591,  0.671,  0.751,  0.863,  1.015,  1.3045999999999998,  1.783,  2.7942000000000013, 898076, off
WedApr704:15:58PDT2021, 0-3, 8, 1, 16 , 0.519,  6.175, 1.44,  0.575,  0.6486000000000001,  0.719,  0.8342,  0.983,  1.287,  1.801,  2.9702000000000015, 878179, off
WedApr704:48:09PDT2021, 0-3, 8, 1, 16 , 0.535,  2.479, 1.21,  0.6558,  0.719,  0.815,  0.951,  1.047,  1.3157999999999999,  1.619,  1.975, 870860, off
WedApr705:20:02PDT2021, 0-3, 8, 1, 16 , 0.519,  5.919, 1.46,  0.575,  0.655,  0.7293999999999999,  0.847,  1.011,  1.3157999999999999,  1.847,  3.007, 894583, off
WedApr705:51:59PDT2021, 0-3, 8, 1, 16 , 0.511,  4.895, 1.45,  0.5678,  0.655,  0.727,  0.847,  1.027,  1.327,  1.873,  3.141400000000003, 892560, off
WedApr706:23:56PDT2021, 0-3, 8, 1, 16 , 0.535,  5.407, 1.36,  0.591,  0.671,  0.7614,  0.8822000000000001,  1.015,  1.3077999999999999,  1.755,  2.573400000000001, 853252, off
WedApr706:56:05PDT2021, 0-3, 8, 1, 16 , 0.535,  5.567, 1.48,  0.583,  0.655,  0.7454,  0.8662000000000001,  1.015,  1.3077999999999999,  1.829,  3.2134000000000005, 861337, off
WedApr707:28:19PDT2021, 0-3, 8, 1, 16 , 0.527,  6.111, 1.56,  0.583,  0.663,  0.7454,  0.879,  1.055,  1.367,  1.975,  3.4358000000000013, 879102, off
WedApr708:00:27PDT2021, 0-3, 8, 1, 16 , 0.527,  4.671, 1.39,  0.575,  0.647,  0.727,  0.839,  0.987,  1.2757999999999998,  1.787,  2.8902000000000014, 868015, off
WedApr708:32:22PDT2021, 0-3, 8, 1, 16 , 0.527,  6.207, 1.40,  0.567,  0.6326,  0.703,  0.823,  0.979,  1.279,  1.739,  2.795800000000001, 877584, off
