Time,stc-edc,total core,instance,connections,reshup-min,reshup-max,reshup-avg,p10,p20,p30,p40,p50,p60,p75,p90,hpthrput,HT
TueApr613:20:22PDT2021, 0-3, 8, 1, 16 , 0.447,  12.223, 1.70,  0.487,  0.519,  0.599,  0.7174,  0.871,  1.127,  1.641,  4.191, 956411, off
TueApr614:16:05PDT2021, 0-3, 8, 1, 16 , 0.455,  12.031, 1.91,  0.4958,  0.559,  0.647,  0.7622000000000001,  0.899,  1.119,  1.679,  5.419800000000007, 945301, off
TueApr614:48:11PDT2021, 0-3, 8, 1, 16 , 0.447,  12.031, 1.98,  0.503,  0.5926,  0.679,  0.815,  0.935,  1.1525999999999998,  1.725,  5.343000000000011, 959497, off
TueApr615:20:26PDT2021, 0-3, 8, 1, 16 , 0.463,  12.031, 1.96,  0.5118,  0.583,  0.6734,  0.823,  0.927,  1.1285999999999998,  1.823,  5.531800000000001, 925416, off
TueApr615:52:28PDT2021, 0-3, 8, 1, 16 , 0.471,  12.415, 2.33,  0.5198,  0.5766,  0.6838,  0.839,  0.9390000000000001,  1.271,  2.283,  7.547800000000001, 927809, off
TueApr616:24:24PDT2021, 0-3, 8, 1, 16 , 0.415,  10.239, 1.20,  0.455,  0.487,  0.6334,  0.711,  0.779,  0.887,  1.321,  2.0350000000000015, 1.04141e+06, off
TueApr616:56:19PDT2021, 0-3, 8, 1, 16 , 0.415,  4.415, .91,  0.447,  0.471,  0.5614,  0.671,  0.727,  0.7958,  1.025,  1.5646000000000007, 1.03394e+06, off
TueApr618:00:38PDT2021, 0-3, 8, 1, 16 , 0.455,  12.415, 1.84,  0.503,  0.5446000000000001,  0.639,  0.7782000000000001,  0.899,  1.0821999999999998,  1.635,  4.347800000000001, 939530, off
TueApr618:32:53PDT2021, 0-3, 8, 1, 16 , 0.447,  12.223, 1.55,  0.487,  0.527,  0.599,  0.695,  0.839,  0.983,  1.455,  3.496600000000002, 955212, off
TueApr619:05:06PDT2021, 0-3, 8, 1, 16 , 0.431,  10.943, 1.42,  0.471,  0.511,  0.671,  0.751,  0.839,  0.991,  1.401,  2.607, 997465, off
