RunNo,InstanceId,Time,Exp Scenario,VM Type,Avg Latency,Avg Throughput
run_3,i-01117dcf051de4b99,WedJul2821:37:55UTC2021,case_1,primary,138,85661
run_2,i-02206028b0354f030,WedJul2821:14:13UTC2021,case_1,primary,124,93929
run_1,i-0489225b2ec379f94,WedJul2820:50:33UTC2021,case_1,primary,126,90244
run_2,i-006c9192f49a2aa0c,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_1,i-015e8bf544bf7cb6a,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_3,i-0194018b1e8eff575,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-01f6fad9660f5f88f,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_1,i-0245cf9269e328e3a,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_1,i-03e859d5481c90faf,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_2,i-0405dc550c8dd7b86,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_1,i-0457a18d975ebaf0e,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_3,i-048f80a6c5e0e00d6,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_2,i-04aaa2fd0046d9b11,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_1,i-056ae7d77dc486ed8,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_1,i-05de1c6da8e20d84a,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_2,i-060061c093f0aa0bf,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-066a9329543c8c397,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_2,i-07a75ade569b34a38,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-08a627f41161fc9b7,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_2,i-08f32478488432480,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-0a378a57a7d41bec3,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-0aaabb9588388a6ab,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_2,i-0add2910ea79961ff,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-0b308392cf2f7bd04,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_3,i-0b5396f7cee87fc52,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_3,i-0b9873074bbdab581,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_2,i-0be3da9768b08729f,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_2,i-0cc46adef216c84ff,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_2,i-0ddedb50268270eba,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-0e2ca6572599528b4,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-0e3724aa3a11c69ca,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_2,i-0ed4dcb03403f371f,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-0f7e738982ab91183,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-0fcb5a984be079d75,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_3,i-0fcf069e0eacadf0d,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-0ff29de06ec815982,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_3,i-01f2895370bf7a246,WedJul2823:07:17UTC2021,case_2,primary,123,93150
run_2,i-03a2fa49e470a8ac0,WedJul2822:43:40UTC2021,case_2,primary,128,89175
run_1,i-0a84f0f6f0d17097a,WedJul2822:20:06UTC2021,case_2,primary,123,92656
run_1,i-001101427c1c17a68,WedJul2822:20:03UTC2021,case_2,secondary,122,94128
run_3,i-00bd4dde3a1f49af7,WedJul2823:07:13UTC2021,case_2,secondary,121,93210
run_2,i-0112c780227f22177,WedJul2822:43:39UTC2021,case_2,secondary,122,94366
run_1,i-01274014fbdabf4e7,WedJul2822:20:03UTC2021,case_2,secondary,122,93820
run_3,i-0152531532628b16a,WedJul2823:07:13UTC2021,case_2,secondary,125,92795
run_1,i-01dabbf9f3e7ffaec,WedJul2822:20:02UTC2021,case_2,secondary,122,94079
run_2,i-024fe1e8db6b6a84a,WedJul2822:43:38UTC2021,case_2,secondary,124,93530
run_3,i-0259f81c6a9f60c12,WedJul2823:07:13UTC2021,case_2,secondary,166,71987
run_3,i-027bc62d45081c988,WedJul2823:07:14UTC2021,case_2,secondary,123,91422
run_3,i-02a87a1b684239c36,WedJul2823:07:12UTC2021,case_2,secondary,128,89126
run_2,i-047ae77581d515990,WedJul2822:43:37UTC2021,case_2,secondary,124,93949
run_2,i-058e50cd57a62798b,WedJul2822:43:36UTC2021,case_2,secondary,124,90795
run_1,i-05c27202c11d44b79,WedJul2822:20:02UTC2021,case_2,secondary,128,89101
run_1,i-068e99419217b9254,WedJul2822:20:02UTC2021,case_2,secondary,121,93598
run_2,i-06f481307356ae3f6,WedJul2822:43:37UTC2021,case_2,secondary,122,92679
run_3,i-0743ec9cdb514ec4c,WedJul2823:07:12UTC2021,case_2,secondary,152,75563
run_3,i-07d6866131fd93a22,WedJul2823:07:13UTC2021,case_2,secondary,124,93621
run_3,i-07f148fcdc70dca30,WedJul2823:07:13UTC2021,case_2,secondary,122,94671
run_2,i-080c0efdc1cdf5646,WedJul2822:43:36UTC2021,case_2,secondary,122,94579
run_2,i-08c7186fd9e248705,WedJul2822:43:37UTC2021,case_2,secondary,122,94383
run_1,i-08c85914f32e4c4a9,WedJul2822:20:03UTC2021,case_2,secondary,126,92131
run_2,i-08edb62444bf698b4,WedJul2822:43:37UTC2021,case_2,secondary,123,93215
run_1,i-097d450953916412d,WedJul2822:20:04UTC2021,case_2,secondary,126,89814
run_1,i-0b1864dfecf668284,WedJul2822:20:03UTC2021,case_2,secondary,124,91450
run_2,i-0ba96401f31d3dd34,WedJul2822:43:39UTC2021,case_2,secondary,131,86696
run_3,i-0bed09f9c1d4d170e,WedJul2823:07:12UTC2021,case_2,secondary,127,88227
run_1,i-0c8b1b8f1fb424d07,WedJul2822:20:02UTC2021,case_2,secondary,124,94085
run_1,i-0d2ee4921c1dcc7c0,WedJul2822:20:03UTC2021,case_2,secondary,122,93748
run_2,i-0da9496c3107cd2e2,WedJul2822:43:37UTC2021,case_2,secondary,123,92600
