Run No,Instance Id,Exp Time,Case No,VM Type,P-50,P-75,P-90,Avg RPS,Avg User Utilization(%), Avg System Utilization(%)
run_1,i-03c199e3c631300ab,FriAug1316:30:35PDT2021,case_2,primary,1075.199,2875.391,4915.199,10.15k,23.2813,50.5341
run_3,i-07779f113667ab69f,FriAug1318:29:07PDT2021,case_2,primary,1.812,5.243,23.151,10.48k,23.3587,46.6676
run_5,i-0a850382935e246e6,FriAug1320:27:39PDT2021,case_2,primary,1.568,2.887,49.375,10.85k,23.3974,47.3233
run_4,i-0c6036c17d3889697,FriAug1319:28:24PDT2021,case_2,primary,2.395,9.735,45.983,10.45k,23.7211,46.597
run_2,i-0c7b6e641404d43b1,FriAug1317:29:51PDT2021,case_2,primary,1.275,1.795,2.475,10.87k,23.5479,46.9692
run_1,i-0016c4de9bd421edf,FriAug1316:30:35PDT2021,case_2,secondary,993.279,2748.415,4919.295,10.12k,24.1527,49.6866
run_1,i-0029f731778524741,FriAug1316:30:35PDT2021,case_2,secondary,1.766,3.913,18.767,10.53k,23.242,47.4919
run_2,i-010b9442f2f82ada2,FriAug1317:29:51PDT2021,case_2,secondary,1.368,2.020,4.041,10.87k,23.545,47.0642
run_4,i-013ef1e1c0b11c7d4,FriAug1319:28:24PDT2021,case_2,secondary,1.377,2.137,6.215,10.87k,23.5042,47.5975
run_3,i-0155d1e3e3e8ce8e6,FriAug1318:29:07PDT2021,case_2,secondary,1.749,4.571,25.263,10.68k,24.7703,50.5996
run_2,i-01bdaf7d035fde641,FriAug1317:29:51PDT2021,case_2,secondary,1.397,1.985,3.081,10.87k,23.4374,48.2735
run_4,i-01ea80dd0a3370556,FriAug1319:28:24PDT2021,case_2,secondary,1.287,1.910,6.487,10.87k,23.3328,47.807
run_3,i-021e9928d238629b9,FriAug1318:29:07PDT2021,case_2,secondary,1.598,3.133,14.551,10.36k,23.7665,48.0549
run_1,i-023baf97d85b10f1e,FriAug1316:30:35PDT2021,case_2,secondary,1.517,2.535,20.063,10.87k,23.6504,47.76
run_1,i-0266ee119fd72856e,FriAug1316:30:35PDT2021,case_2,secondary,1.504,2.775,14.415,10.86k,24.6672,50.1109
run_1,i-029918bc966517323,FriAug1316:30:35PDT2021,case_2,secondary,1.697,2.893,9.751,10.80k,23.7756,46.8139
run_2,i-02aff2b70981edfa5,FriAug1317:29:51PDT2021,case_2,secondary,1.280,1.880,4.283,10.86k,23.3305,47.3629
run_5,i-02ed61905dde8d017,FriAug1320:27:39PDT2021,case_2,secondary,3.401,15.695,66.943,10.42k,24.0423,49.0281
run_2,i-03ea4b8619cccbc75,FriAug1317:29:51PDT2021,case_2,secondary,1.198,1.675,2.251,10.86k,23.4757,47.0676
run_1,i-041099f775c96611c,FriAug1316:30:35PDT2021,case_2,secondary,2.719,9.831,42.239,10.41k,24.4166,49.3935
run_2,i-0434f2f107bbe38da,FriAug1317:29:51PDT2021,case_2,secondary,1.398,2.187,8.231,10.57k,23.4478,46.4393
run_4,i-048ab52dcafe80dd7,FriAug1319:28:24PDT2021,case_2,secondary,2.015,5.831,23.167,10.51k,24.7344,49.4449
run_3,i-05651e392fa0ce65d,FriAug1318:29:07PDT2021,case_2,secondary,3.121,13.815,51.775,10.40k,24.3798,48.1947
run_1,i-05b9157aad3a2464b,FriAug1316:30:35PDT2021,case_2,secondary,2.411,8.559,47.103,10.54k,24.3444,47.5809
run_4,i-0620cfa2538ebfce2,FriAug1319:28:24PDT2021,case_2,secondary,1.138,1.607,2.247,10.87k,23.5311,47.5525
run_3,i-065751760ecd14dc5,FriAug1318:29:07PDT2021,case_2,secondary,1.235,1.745,2.727,10.87k,23.3733,46.9616
run_4,i-068ce5c6fe300695b,FriAug1319:28:24PDT2021,case_2,secondary,1.423,2.049,3.329,10.87k,23.4424,47.7579
run_3,i-06c55402645857e53,FriAug1318:29:07PDT2021,case_2,secondary,1.168,1.637,2.197,10.87k,24.1595,47.2998
run_3,i-06dfede90cde898a5,FriAug1318:29:07PDT2021,case_2,secondary,1.491,2.805,12.495,10.86k,23.5219,47.8742
run_2,i-0755537ebfef7ba97,FriAug1317:29:51PDT2021,case_2,secondary,1.738,3.485,16.103,10.69k,23.3359,46.2066
run_4,i-07570144d93556a39,FriAug1319:28:24PDT2021,case_2,secondary,1.985,5.159,22.223,10.54k,23.7476,48.8996
run_1,i-07629bf5d8a76f043,FriAug1316:30:35PDT2021,case_2,secondary,1.845,5.627,24.271,10.54k,23.552,48.8633
run_1,i-078994c96b0c9a07c,FriAug1316:30:35PDT2021,case_2,secondary,2.707,11.343,77.311,10.86k,24.297,47.9866
run_5,i-07c83a9e0dad3dd4a,FriAug1320:27:40PDT2021,case_2,secondary,2.705,11.807,49.215,10.46k,23.5868,48.9861
run_5,i-0813e04f73dc20ebe,FriAug1320:27:39PDT2021,case_2,secondary,5062.655,8478.719,11599.871,9.63k,23.3588,50.6274
run_4,i-082b8a385af0d19ce,FriAug1319:28:24PDT2021,case_2,secondary,1.447,2.493,46.975,10.87k,23.669,49.6065
run_4,i-083cc208d25401bc4,FriAug1319:28:24PDT2021,case_2,secondary,1.192,1.688,2.505,10.86k,23.7287,47.3608
