Run No,Instance Id,Exp Time,Case No,VM Type,P-50,P-75,P-90,Avg RPS,Avg User Utilization(%), Avg System Utilization(%)
run_1,i-01b86667951972d2a,MonAug1607:47:19PDT2021,case_2,primary,1.209,1.742,3.155,10.87k,23.7973,47.3243
run_11,i-02100d078199ec52a,MonAug1617:40:01PDT2021,case_2,primary,8970.239,13828.095,17694.719,9.16k,21.9206,51.3645
run_10,i-0238a3820a7ad81d9,MonAug1616:40:45PDT2021,case_2,primary,2.431,9.791,34.239,10.43k,23.2131,47.0641
run_20,i-0353cc9d939a610bb,TueAug1702:33:26PDT2021,case_2,primary,1.222,1.800,4.503,10.85k,21.292,46.7404
run_9,i-03af1e5ab67db84e6,MonAug1615:41:29PDT2021,case_2,primary,1.499,2.341,8.055,10.87k,23.308,46.9829
run_15,i-041f72f15c50e66ce,MonAug1621:37:06PDT2021,case_2,primary,1.149,1.618,2.253,10.87k,23.5331,47.8424
run_7,i-047a1a501c130455a,MonAug1613:42:56PDT2021,case_2,primary,1.470,2.221,4.939,10.87k,23.2639,47.2532
run_14,i-054c45a6e1032b496,MonAug1620:37:50PDT2021,case_2,primary,1.264,1.817,2.955,10.87k,23.268,47.4253
run_4,i-061c8bf463033bead,MonAug1610:45:08PDT2021,case_2,primary,1.884,4.599,65.663,10.87k,23.5938,47.9682
run_23,i-067f73ff509d58b05,TueAug1705:31:14PDT2021,case_2,primary,2.075,6.843,25.167,10.45k,23.2381,47.4359
run_16,i-0687b1fcd85b2bfbc,MonAug1622:36:22PDT2021,case_2,primary,1.426,2.395,9.343,10.82k,24.1728,49.5034
run_19,i-0693b3f3f6cdba40b,TueAug1701:34:10PDT2021,case_2,primary,1.285,1.805,2.513,10.87k,22.1316,47.4732
run_3,i-07d55c5100ec36551,MonAug1609:45:51PDT2021,case_2,primary,1.590,2.727,8.431,10.72k,23.6423,47.7428
run_21,i-094757d845928640a,TueAug1703:32:42PDT2021,case_2,primary,1.195,1.657,2.117,10.87k,20.6419,45.3964
run_2,i-094a3e8931761f76d,MonAug1608:46:35PDT2021,case_2,primary,1.121,1.560,1.991,10.87k,23.6429,47.4685
run_5,i-09e318f6236dff386,MonAug1611:44:24PDT2021,case_2,primary,1.600,3.025,39.487,10.47k,23.5896,48.4696
run_8,i-0a8be6a1a628fa975,MonAug1614:42:12PDT2021,case_2,primary,1.986,4.891,17.935,10.68k,24.0063,49.929
run_24,i-0b09f6e819d32677b,TueAug1706:30:31PDT2021,case_2,primary,1.434,2.185,4.959,10.87k,24.2525,49.5142
run_12,i-0c1587fe061e127b2,MonAug1618:39:17PDT2021,case_2,primary,1956.863,4739.071,7467.007,9.94k,23.3757,50.9948
run_13,i-0c35eeb5cd23f3ece,MonAug1619:38:33PDT2021,case_2,primary,1.580,2.859,13.543,10.65k,23.6673,46.9516
run_18,i-0c49dfcfddd9fad4c,TueAug1700:34:54PDT2021,case_2,primary,1.181,1.667,2.315,10.87k,24.0515,49.0334
run_22,i-0cfb2ed392dce088f,TueAug1704:31:58PDT2021,case_2,primary,1.378,2.067,4.415,10.86k,23.4882,48.201
run_6,i-0dd3c6c0b8e13ea76,MonAug1612:43:40PDT2021,case_2,primary,2.109,6.951,25.999,10.46k,21.7044,48.6534
run_17,i-0f1db64b94898713e,MonAug1623:35:38PDT2021,case_2,primary,1.733,4.419,17.839,10.56k,23.5926,46.7696
run_14,i-0013b2b9f088a504d,MonAug1620:37:50PDT2021,case_2,secondary,1.615,3.443,14.071,10.50k,23.9668,48.3401
run_12,i-0018adfb0bd097d85,MonAug1618:39:17PDT2021,case_2,secondary,1.205,1.687,2.245,10.87k,25.1785,50.3851
run_10,i-002b9ae7267adbe59,MonAug1616:40:45PDT2021,case_2,secondary,1.986,6.295,26.175,10.54k,23.9678,46.5741
run_16,i-002e422baef607aaf,MonAug1622:36:22PDT2021,case_2,secondary,2.038,7.127,26.911,10.45k,23.556,46.9592
run_15,i-003054fdf660543bd,MonAug1621:37:06PDT2021,case_2,secondary,1.714,3.417,14.255,10.76k,23.3582,46.555
run_24,i-003b2d42f78b89f2b,TueAug1706:30:31PDT2021,case_2,secondary,2.949,11.263,35.903,10.40k,23.6524,47.3699
run_11,i-003e5462a5fee743b,MonAug1617:40:01PDT2021,case_2,secondary,1.169,1.652,2.301,10.88k,23.6582,48.3541
run_22,i-0051060422e7162f5,TueAug1704:31:58PDT2021,case_2,secondary,1367.039,2805.759,4644.863,10.37k,23.7947,49.5273
run_22,i-005458b82eaffcbe7,TueAug1704:31:58PDT2021,case_2,secondary,146.687,1014.783,2125.823,10.89k,23.8808,49.8893
run_18,i-005877ef410dde85b,TueAug1700:34:54PDT2021,case_2,secondary,1.534,2.345,5.615,10.87k,24.4324,50.5525
run_5,i-00729b5e299675c85,MonAug1611:44:24PDT2021,case_2,secondary,1.435,2.367,8.135,10.87k,23.272,46.9693
run_11,i-008b2819b1008097a,MonAug1617:40:01PDT2021,case_2,secondary,8122.367,12361.727,15982.591,9.34k,23.8284,49.8386
